4,9
5,10
5,11
6,11
6,12
6,13
7,13
8,14
9,14
9,15
8,16
8,17
9,17
10,18
11,19
11,20
11,21
11,22
12,22
13,23
13,24
13,25
13,26
14,26
15,27
15,28
15,29
15,30
16,31
16,32
17,32
18,33
19,33
20,34
21,35
22,35
23,36
24,36
24,37
25,38
26,39
27,39
27,40
28,41
29,41
29,42
30,42
30,43
30,44
30,45
29,46
28,47
27,48
26,48
25,48
24,48
23,47
22,47
21,47
22,48
23,49
24,50
25,50
26,51
26,52
26,53
27,53
28,54
29,53
30,54
30,55
31,55
32,55
33,56
34,57
35,56
36,56
37,57
38,57
38,58
39,59
40,59
41,60
42,60
43,61
44,61
45,62
46,63
46,64
46,65
47,66
47,67
47,68
46,69
46,70
46,71
45,72
45,73
46,73
46,74
47,75
48,75
49,76
50,77
51,76
52,77
53,77
54,78
55,78
56,79
57,80
58,81
59,82
60,82
61,83
62,83
62,84
63,85
63,86
63,87
64,88
65,89
66,88
67,87
68,87
69,86
69,85
69,84
69,83
68,83
67,82
67,81
66,80
66,79
65,79
64,79
64,78
63,77
62,76
61,77
61,78
60,78
59,77
58,76
58,75
58,74
59,73
58,72
57,71
57,70
56,69
56,68
55,67
54,66
54,65
53,65
53,64
53,63
53,62
52,61
52,60
52,59
51,58
51,57
50,57
50,56
49,55
48,55
47,54
46,53
45,52
45,51
44,50
42,49
41,48
41,47
41,46
40,45
40,44
40,43
38,42
37,40
36,40
36,39
35,39
35,38
34,37
33,36
32,35
31,34
30,33
29,32
28,32
27,32
27,31
26,30
25,29
25,28
25,27
25,26
25,25
24,24
24,23
24,22
23,21
23,20
23,19
23,18
23,17
24,16
24,15
24,15
25,15
27,15
28,17
29,17
30,17
31,16
32,17
33,18
34,19
35,19
36,19
37,19
38,20
38,24
39,25
40,26
41,27
41,31
42,32
43,33
44,34
45,35
45,37
46,38
47,39
48,40
49,41
50,42
51,43
52,44
53,45
54,46
55,47
56,47
57,47
58,47
59,47
60,48
60,52
61,53
62,53
63,54
64,54
65,55
66,56
67,57
68,57
69,57
70,58
71,59
71,61
70,61
69,62
69,65
70,66
72,67
73,67
74,67
75,67
75,68
76,68
77,69
78,69
79,70
80,70
81,71
81,74
82,75
83,75
84,76
85,77
86,78
87,78
88,78
89,79
90,80
91,81
92,83
93,84
94,85
95,86
96,87
97,88
98,89
99,90
100,90
101,92
101,96
102,97
103,99
104,100
105,100
105,104
104,104
103,105
102,106
103,106
104,107
104,108
103,108
102,109
101,109
102,111
102,112
103,113
104,114
105,115
106,116
107,118
109,119
111,120
112,120
113,120
113,121
114,121
116,122
117,123
118,124
119,125
120,127
121,127
122,127
124,128
125,128
126,129
130,130
131,130
132,130
133,130
134,130
136,132
137,133
139,134
140,135
142,136
143,136
145,137
146,137
148,138
149,138
150,139
151,140
152,140
155,140
157,141
160,141
161,143
162,143
163,143
164,143
165,142
166,142
167,142
168,143
169,144
170,144
171,144
172,144
173,144
174,143
175,143
176,142
177,141
178,140
179,139
180,139
181,139
182,139
183,139
184,139
185,139
186,139
187,139
188,140
189,141
190,142
191,143
